ID,Nhà cung cấp,Ngày nhập gần đây,Đơn giá nhập,Tổng nhập,ID Khach hang,Ngày,Đơn giá MIN,Tổng nhập
3321-1005,NCC-PHUONGSAKURA,2022-02-18 00:00:00,1450000,1,NCC-PHUONGSAKURA,2022-02-18 00:00:00,1450000,1
64119229487,NCC-NAMCHAU,2022-02-18 00:00:00,4000000,1,NCC-NAMCHAU,2022-02-18 00:00:00,4000000,1
64119237555,NCC-NAMCHAU,2022-02-18 00:00:00,400000,1,NCC-NAMCHAU,2022-02-18 00:00:00,400000,1
64119289832,NCC-NAMCHAU,2022-02-18 00:00:00,850000,1,NCC-NAMCHAU,2022-02-18 00:00:00,850000,1
64506804722,NCC-NAMCHAU,2022-02-18 00:00:00,3800000,1,NCC-NAMCHAU,2022-02-18 00:00:00,3800000,1
13559-31020,HTAUTOHN,2022-02-19 00:00:00,400000,1,HTAUTOHN,2022-02-19 00:00:00,400000,1
48815-12340,HTAUTOHN,2022-02-19 00:00:00,100000,10,HTAUTOHN,2022-02-19 00:00:00,100000,10
R720A1-M720A1/STD,HTAUTOHN,2022-02-19 00:00:00,495000,1,HTAUTOHN,2022-02-19 00:00:00,495000,1
ZA-62TB0629B28,NCC-VUGIA,2022-02-19 00:00:00,430000,20,NCC-VUGIA,2022-02-19 00:00:00,430000,20
11213-15071-KP,HTAUTOHN,2022-02-21 00:00:00,65000,1,HTAUTOHN,2022-02-21 00:00:00,65000,1
A368Y21MM,HTAUTOHN,2022-02-21 00:00:00,190000,1,HTAUTOHN,2022-02-21 00:00:00,190000,1
12305-31031,HTAUTOHN,2022-02-22 00:00:00,2650000,1,HTAUTOHN,2022-02-22 00:00:00,2650000,1
12371-31150,HTAUTOHN,2022-02-22 00:00:00,1180000,1,HTAUTOHN,2022-02-22 00:00:00,1180000,1
13011-36061,NCC-KHANGTHANG,2022-02-22 00:00:00,1490000,3,NCC-KHANGTHANG,2022-02-22 00:00:00,1490000,3
45510-02660,HTAUTOHN,2022-02-22 00:00:00,7800000,1,HTAUTOHN,2022-01-06 00:00:00,7800000,1
45510-02660,HTAUTOHN,2022-02-22 00:00:00,7800000,1,HTAUTOHN,2022-01-20 00:00:00,7800000,1
45510-02660,HTAUTOHN,2022-02-22 00:00:00,7800000,1,HTAUTOHN,2022-02-22 00:00:00,7800000,1
CD010478,HTAUTOHN,2022-02-22 00:00:00,950000,5,HTAUTOHN,2022-02-22 00:00:00,950000,5
FS3213,HTAUTOHN,2022-02-22 00:00:00,61000,50,HTAUTOHN,2022-02-16 00:00:00,61000,1
FS3213,HTAUTOHN,2022-02-22 00:00:00,61000,50,HTAUTOHN,2022-02-22 00:00:00,61000,50
SB-3812,HTAUTOHN,2022-02-22 00:00:00,340000,10,HTAUTOHN,2022-02-22 00:00:00,340000,10
12360-0P110,HTAUTOHN,2022-02-23 00:00:00,2130000,1,HTAUTOHN,2022-02-23 00:00:00,2130000,1
45046-09610,HTAUTOHN,2022-02-23 00:00:00,558000,6,CHPT-MINHANH,2022-01-06 00:00:00,550000,6
16400-0L150,HTAUTOHN,2022-02-24 00:00:00,4930000,1,HTAUTOHN,2022-02-24 00:00:00,4930000,1
17801-31120,NCC-KHANGTHANG,2022-02-24 00:00:00,490000,5,NCC-KHANGTHANG,2022-02-24 00:00:00,490000,5
51621-T9J-H01,KL-DUCPHAT-Q5,2022-02-24 00:00:00,800000,1,KL-DUCPHAT-Q5,2022-02-24 00:00:00,800000,1
52611-T9J-H01,KL-DUCPHAT-Q5,2022-02-24 00:00:00,800000,1,KL-DUCPHAT-Q5,2022-02-24 00:00:00,800000,1
533540-T0A-A01,KL-DUCPHAT-Q5,2022-02-24 00:00:00,250000,5,KL-DUCPHAT-Q5,2022-02-24 00:00:00,250000,5
89422-35010,NCC-KHANGTHANG,2022-02-24 00:00:00,680000,1,NCC-KHANGTHANG,2022-02-24 00:00:00,680000,1
47910-26550,HTAUTOHN,2022-02-25 00:00:00,1580000,1,HTAUTOHN,2022-02-25 00:00:00,1580000,1
84306-48030,HTAUTOHN,2022-02-25 00:00:00,1810000,1,HTAUTOHN,2022-02-25 00:00:00,1810000,1
04111-0P065,NK-TS,2022-02-26 00:00:00,3215616,2,NK-TS,2022-02-26 00:00:00,3215616,2
04371-0K110,NK-TS,2022-02-26 00:00:00,420282,100,NK-TS,2022-02-26 00:00:00,420282,100
04421-30081,NK-TS,2022-02-26 00:00:00,455130,10,NK-TS,2022-02-26 00:00:00,455130,10
04465-0D130,NK-TS,2022-02-26 00:00:00,990716,100,NK-TS,2022-02-26 00:00:00,990716,100
04465-0D140,NK-TS,2022-02-26 00:00:00,899502,4,NK-TS,2022-02-26 00:00:00,899502,4
04465-52310,NK-TS,2022-02-26 00:00:00,899502,18,NK-TS,2022-02-26 00:00:00,899502,18
04465-YZZR7,NK-TS,2022-02-26 00:00:00,975513,30,NK-TS,2022-02-26 00:00:00,975513,30
04466-YZZAM,NK-TS,2022-02-26 00:00:00,602241,50,NK-TS,2022-02-26 00:00:00,602241,50
04479-48130,NK-TS,2022-02-26 00:00:00,511729,1,NK-TS,2022-02-26 00:00:00,511729,1
12305-0M122,NK-TS,2022-02-26 00:00:00,1131979,5,NK-TS,2022-02-26 00:00:00,1131979,5
12305-0T092,NK-TS,2022-02-26 00:00:00,871437,2,NK-TS,2022-02-26 00:00:00,871437,2
12305-21220,NK-TS,2022-02-26 00:00:00,1617748,2,NK-TS,2022-02-26 00:00:00,1617748,2
12309-0H071,NK-TS,2022-02-26 00:00:00,809693,40,NK-TS,2022-02-26 00:00:00,809693,40
12361-28221,NK-TS,2022-02-26 00:00:00,1609562,30,NK-TS,2022-02-26 00:00:00,1609562,30
12361-51030,NK-TS,2022-02-26 00:00:00,1403514,5,NK-TS,2022-02-26 00:00:00,1403514,5
12372-0M130,NK-TS,2022-02-26 00:00:00,1028838,3,NK-TS,2022-02-26 00:00:00,1028838,3
12372-0T211,NK-TS,2022-02-26 00:00:00,873308,1,NK-TS,2022-02-26 00:00:00,873308,1
12372-20100,NK-TS,2022-02-26 00:00:00,1383400,3,NK-TS,2022-02-26 00:00:00,1383400,3
13506-38020,NK-TS,2022-02-26 00:00:00,885236,5,NK-TS,2022-02-26 00:00:00,885236,5
13540-28010,NK-TS,2022-02-26 00:00:00,233880,7,NK-TS,2022-02-26 00:00:00,233880,7
16100-0H050,NK-TS,2022-02-26 00:00:00,936689,6,NK-TS,2022-02-26 00:00:00,936689,6
16100-39616,NK-TS,2022-02-26 00:00:00,1322358,3,NK-TS,2022-02-26 00:00:00,1322358,3
17801-0D030,NK-TS,2022-02-26 00:00:00,182426,10,NK-TS,2022-02-26 00:00:00,182426,10
31230-60170,NK-TS,2022-02-26 00:00:00,592652,30,NK-TS,2022-02-26 00:00:00,592652,30
